,continent,country
0,Asia,Afghanistan
1,Europe,Åland Islands
2,Europe,Albania
3,Africa,Algeria
4,Oceania,American Samoa
5,Europe,Andorra
6,Africa,Angola
7,Americas,Anguilla
8,,Antarctica
9,Americas,Antigua and Barbuda
10,Americas,Argentina
11,Asia,Armenia
12,Americas,Aruba
13,Oceania,Australia
14,Europe,Austria
15,Asia,Azerbaijan
16,Americas,Bahamas
17,Asia,Bahrain
18,Asia,Bangladesh
19,Americas,Barbados
20,Europe,Belarus
21,Europe,Belgium
22,Americas,Belize
23,Africa,Benin
24,Americas,Bermuda
25,Asia,Bhutan
26,Americas,Bolivia (Plurinational State of)
27,Americas,"Bonaire, Sint Eustatius and Saba"
28,Europe,Bosnia and Herzegovina
29,Africa,Botswana
30,,Bouvet Island
31,Americas,Brazil
32,,British Indian Ocean Territory
33,Asia,Brunei Darussalam
34,Europe,Bulgaria
35,Africa,Burkina Faso
36,Africa,Burundi
37,Asia,Cambodia
38,Africa,Cameroon
39,Americas,Canada
40,Africa,Cabo Verde
41,Americas,Cayman Islands
42,Africa,Central African Republic
43,Africa,Chad
44,Americas,Chile
45,Asia,China
46,,Christmas Island
47,,Cocos (Keeling) Islands
48,Americas,Colombia
49,Africa,Comoros
50,Africa,Congo
51,Africa,Congo (Democratic Republic of the)
52,Oceania,Cook Islands
53,Americas,Costa Rica
54,Africa,Côte d'Ivoire
55,Europe,Croatia
56,Americas,Cuba
57,Americas,Curaçao
58,Asia,Cyprus
59,Europe,Czech Republic
60,Europe,Denmark
61,Africa,Djibouti
62,Americas,Dominica
63,Americas,Dominican Republic
64,Americas,Ecuador
65,Africa,Egypt
66,Americas,El Salvador
67,Africa,Equatorial Guinea
68,Africa,Eritrea
69,Europe,Estonia
70,Africa,Ethiopia
71,Americas,Falkland Islands (Malvinas)
72,Europe,Faroe Islands
73,Oceania,Fiji
74,Europe,Finland
75,Europe,France
76,Americas,French Guiana
77,Oceania,French Polynesia
78,,French Southern Territories
79,Africa,Gabon
80,Africa,Gambia
81,Asia,Georgia
82,Europe,Germany
83,Africa,Ghana
84,Europe,Gibraltar
85,Europe,Greece
86,Americas,Greenland
