,continent,country,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,outdoor
1424,Asia,Cambodia,2020-02-15,2.0,0.0,2.0,-17.0,5.0,0.0,-1.6
1425,Asia,Cambodia,2020-02-16,2.0,0.0,2.0,-19.0,3.0,2.0,-2.4
1426,Asia,Cambodia,2020-02-17,-2.0,-1.0,0.0,-19.0,5.0,2.0,-3.4
1427,Asia,Cambodia,2020-02-18,-2.0,0.0,-1.0,-20.0,5.0,1.0,-3.6
1428,Asia,Cambodia,2020-02-19,-2.0,-3.0,0.0,-20.0,5.0,2.0,-4.0
1429,Asia,Cambodia,2020-02-20,-1.0,-2.0,0.0,-21.0,6.0,2.0,-3.6
1430,Asia,Cambodia,2020-02-21,0.0,-1.0,2.0,-21.0,5.0,2.0,-3.0
1431,Asia,Cambodia,2020-02-22,0.0,0.0,2.0,-21.0,6.0,1.0,-2.6
1432,Asia,Cambodia,2020-02-23,0.0,-1.0,1.0,-19.0,4.0,2.0,-3.0
1433,Asia,Cambodia,2020-02-24,-3.0,-2.0,-3.0,-21.0,6.0,2.0,-4.6
1434,Asia,Cambodia,2020-02-25,-2.0,0.0,-3.0,-20.0,5.0,1.0,-4.0
1435,Asia,Cambodia,2020-02-26,-1.0,-1.0,1.0,-21.0,6.0,2.0,-3.2
1436,Asia,Cambodia,2020-02-27,-1.0,-1.0,0.0,-22.0,5.0,2.0,-3.8
1437,Asia,Cambodia,2020-02-28,0.0,-2.0,0.0,-22.0,5.0,1.0,-3.8
1438,Asia,Cambodia,2020-02-29,1.0,-1.0,-1.0,-21.0,5.0,0.0,-3.4
1439,Asia,Cambodia,2020-03-01,1.0,2.0,1.0,-19.0,5.0,1.0,-2.0
1440,Asia,Cambodia,2020-03-02,-1.0,1.0,-2.0,-19.0,6.0,1.0,-3.0
1441,Asia,Cambodia,2020-03-03,0.0,1.0,-1.0,-20.0,5.0,0.0,-3.0
1442,Asia,Cambodia,2020-03-04,1.0,1.0,2.0,-21.0,6.0,1.0,-2.2
