,state,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,outdoor,acc_case,acc_death,new_case,new_death
0,Alabama,2020-02-15,5.0,2.0,39.0,7.0,2.0,-1.0,11.0,0,0,0,0
1,Alabama,2020-02-16,0.0,-2.0,-7.0,3.0,-1.0,1.0,-1.4,0,0,0,0
2,Alabama,2020-02-17,3.0,0.0,17.0,7.0,-17.0,4.0,2.0,0,0,0,0
3,Alabama,2020-02-18,-4.0,-3.0,-11.0,-1.0,1.0,2.0,-3.6,0,0,0,0
4,Alabama,2020-02-19,4.0,1.0,6.0,4.0,1.0,0.0,3.2,0,0,0,0
5,Alabama,2020-02-20,-7.0,-6.0,-25.0,-1.0,0.0,3.0,-7.8,0,0,0,0
6,Alabama,2020-02-21,3.0,0.0,12.0,9.0,1.0,0.0,5.0,0,0,0,0
7,Alabama,2020-02-22,5.0,4.0,46.0,13.0,6.0,-1.0,14.8,0,0,0,0
8,Alabama,2020-02-23,3.0,2.0,24.0,16.0,2.0,0.0,9.4,0,0,0,0
9,Alabama,2020-02-24,-2.0,-3.0,-13.0,2.0,-2.0,2.0,-3.6,0,0,0,0
10,Alabama,2020-02-25,7.0,3.0,27.0,7.0,-1.0,0.0,8.6,0,0,0,0
11,Alabama,2020-02-26,16.0,5.0,7.0,11.0,0.0,-1.0,7.8,0,0,0,0
12,Alabama,2020-02-27,12.0,6.0,14.0,9.0,2.0,-1.0,8.6,0,0,0,0
13,Alabama,2020-02-28,12.0,6.0,20.0,10.0,1.0,-1.0,9.8,0,0,0,0
14,Alabama,2020-02-29,15.0,10.0,55.0,20.0,5.0,-3.0,21.0,0,0,0,0
15,Alabama,2020-03-01,16.0,10.0,53.0,21.0,4.0,-2.0,20.8,0,0,0,0
16,Alabama,2020-03-02,8.0,4.0,-2.0,5.0,2.0,0.0,3.4,0,0,0,0
17,Alabama,2020-03-03,20.0,15.0,33.0,5.0,2.0,-1.0,15.0,0,0,0,0
18,Alabama,2020-03-04,7.0,0.0,-8.0,2.0,0.0,1.0,0.2,0,0,0,0
19,Alabama,2020-03-05,7.0,6.0,0.0,4.0,2.0,1.0,3.8,0,0,0,0
20,Alabama,2020-03-06,9.0,4.0,29.0,10.0,2.0,-1.0,10.8,0,0,0,0
21,Alabama,2020-03-07,12.0,8.0,63.0,18.0,7.0,-2.0,21.6,0,0,0,0
22,Alabama,2020-03-08,12.0,8.0,55.0,20.0,3.0,-1.0,19.6,0,0,0,0
23,Alabama,2020-03-09,10.0,8.0,45.0,9.0,2.0,-1.0,14.8,0,0,0,0
24,Alabama,2020-03-10,9.0,8.0,21.0,4.0,1.0,0.0,8.6,0,0,0,0
25,Alabama,2020-03-11,10.0,8.0,27.0,7.0,1.0,-1.0,10.6,0,0,0,0
26,Alabama,2020-03-12,10.0,22.0,43.0,8.0,1.0,-1.0,16.8,0,0,0,0
27,Alabama,2020-03-13,7.0,32.0,26.0,7.0,-2.0,0.0,14.0,5,0,5,0
28,Alabama,2020-03-14,1.0,28.0,55.0,12.0,4.0,0.0,20.0,7,0,2,0
29,Alabama,2020-03-15,-7.0,16.0,16.0,6.0,-4.0,2.0,5.4,11,0,4,0
30,Alabama,2020-03-16,-2.0,24.0,22.0,2.0,-10.0,4.0,7.2,29,0,18,0
31,Alabama,2020-03-17,-11.0,17.0,25.0,-1.0,-17.0,7.0,2.6,39,0,10,0
32,Alabama,2020-03-18,-13.0,13.0,39.0,-3.0,-22.0,8.0,2.8,51,0,12,0
33,Alabama,2020-03-19,-20.0,15.0,27.0,-8.0,-25.0,10.0,-2.2,78,0,27,0
34,Alabama,2020-03-20,-27.0,10.0,7.0,-14.0,-29.0,14.0,-10.6,106,0,28,0
35,Alabama,2020-03-21,-35.0,5.0,10.0,-13.0,-16.0,8.0,-9.8,131,0,25,0
36,Alabama,2020-03-22,-40.0,-7.0,2.0,-22.0,-27.0,9.0,-18.8,157,0,26,0
37,Alabama,2020-03-23,-33.0,-6.0,-11.0,-22.0,-33.0,14.0,-21.0,196,0,39,0
38,Alabama,2020-03-24,-32.0,-5.0,4.0,-18.0,-34.0,15.0,-17.0,242,0,46,0
39,Alabama,2020-03-25,-28.0,-4.0,36.0,-15.0,-36.0,13.0,-9.4,381,1,139,1
40,Alabama,2020-03-26,-30.0,-3.0,32.0,-19.0,-36.0,14.0,-11.2,517,1,136,0
41,Alabama,2020-03-27,-30.0,-2.0,30.0,-24.0,-37.0,16.0,-12.6,587,4,70,3
42,Alabama,2020-03-28,-36.0,-2.0,22.0,-25.0,-22.0,9.0,-12.6,694,4,107,0
43,Alabama,2020-03-29,-41.0,-13.0,19.0,-30.0,-32.0,9.0,-19.4,825,10,131,6
